Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ABCD3,45,15,0.00015608628754170724,0.0005682676039518447,0.052779194288628255
ABCF3,63,14,1.0350928617977839e-08,6.709117219887405e-08,0.08709841917389088
ABCG1,33,15,0.017288714357050795,0.035248698372819555,0.031157572667006632
ABCG4,11,54,5.276347337804803e-09,3.487684168976784e-08,0.08206697263301038
ABHD10,28,5,5.949475379404536e-05,0.00025311394121217375,0.04101648818629951
ABHD12,179,43,4.8169822090044494e-24,6.570521236587541e-23,0.2413904470508244
ABHD17A,185,49,5.373192453598071e-23,6.10859986889749e-22,0.2408805031446541
ABHD3,31,9,0.0006158722150697749,0.0018454048136308618,0.03887472378038416
ABHD5,29,6,0.00010498855889076932,0.00040069076935745203,0.04093149753527112
ABHD6,29,5,3.430961624841727e-05,0.00015839588589570567,0.04281828998810131
ABI1,12,57,2.948999408830677e-09,1.987962483997752e-08,0.08592554818969914
ABI3BP,29,6,0.00010498855889076932,0.00040069076935745203,0.04093149753527112
ABL2,50,26,0.008727691106057651,0.019510637843223252,0.04103348631650518
ABRA,37,72,0.00016805880229111837,0.0006055439282168944,0.06918238993710692
ABRACL,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
ACA59,8,25,0.0021742859546974515,0.005786536676882213,0.03275539690634031
ACAA2,32,8,0.00016191331805785037,0.0005850852287278144,0.042563318035016146
ACACB,30,8,0.0004279066194789238,0.0013432904705966717,0.03895971443141255
ACAD10,31,8,0.0002640540698855334,0.0008839866298575435,0.04076151623321435
ACAD11,29,5,3.430961624841727e-05,0.00015839588589570567,0.04281828998810131
ACAD9,28,6,0.00017702539567364308,0.0006246633910307265,0.03912969573346932
ACADM,43,14,0.00018491556819071815,0.0006473338002536609,0.051062383137854835
ACAP2,37,9,3.4409604621820894e-05,0.0001586137023359442,0.04968553459119497
ACAP3,39,11,0.00011840273809974537,0.0004468567483472575,0.0495155532891382
ACAT1,10,36,5.700294339754515e-05,0.00024792070777420594,0.04990651028386878
ACBD3,47,24,0.009692196866217626,0.021370931219623596,0.039401665816760155
ACBD5,12,56,5.231351184482962e-09,3.4609881977341464e-08,0.08403875573686895
ACBD6,51,27,0.009614940896617826,0.021256761723157148,0.0409484956654768
ACBD7,15,57,6.820211019120262e-08,4.182357251333119e-07,0.08052014278429373
ACER1,169,45,1.5795631550128622e-20,1.287832761236871e-19,0.21959884412714603
ACER3,9,31,0.0002794182946135968,0.0009329266226116044,0.04227434982151963
ACKR2,31,7,0.00010329003718746068,0.0003977460970464832,0.042648308686044537
ACKR5,27,5,0.00010262147150150756,0.0003977460970464832,0.03921468638449771
ACN9,432,147,6.784902986485259e-64,2.369666815140363e-62,0.5010198878123406
ACO1,27,8,0.0017474370912230362,0.004761206483120285,0.033554309026007145
ACOT11,41,13,0.00021817971695038533,0.0007510022895165911,0.049345571987081414
ACOT7,33,10,0.0005438448725379064,0.0016506593160416894,0.04059153493115758
ACOXL,18,6,0.022033728705400466,0.04297018482160886,0.021111677715451305
ACP5,179,47,2.8280184962034106e-22,2.7507242082890425e-21,0.23384327723950366
ACP6,52,20,0.00021658469358318906,0.0007510022895165911,0.05595784463708992
ACPL2,35,4,2.737399775611559e-07,1.6411285361331095e-06,0.055515893251742304
ACPP,29,5,3.430961624841727e-05,0.00015839588589570567,0.04281828998810131
ACRC,6,19,0.007508495688878724,0.016964433316621133,0.025038245792962772
ACSBG2,173,45,1.4620421134476617e-21,1.2546827691289705e-20,0.22680605133435322
ACSS1,176,41,3.78667007685317e-24,5.2172670838698085e-23,0.23975862655107938
ACSS2,178,39,1.1698931672142e-25,1.945676144542952e-24,0.24713581506034338
ACSS3,32,7,6.180254487828063e-05,0.00025992611839443846,0.044450110487846334
ACTB,423,102,3.2185541898336736e-83,3.380157120484064e-81,0.569709331973483
ACTBL2,23,9,0.019296343833463993,0.038618402410842516,0.024460309365969744
ACTL10,180,40,9.832075142871e-26,1.647969916245945e-24,0.2488526262111168
ACTL6A,55,13,2.5466857866366643e-07,1.5347563059273445e-06,0.07457079721230664
ACTL6B,431,153,1.2133420317083028e-60,3.8524250808023873e-59,0.48789733129355767
ACTL8,39,12,0.0002562061629881113,0.00086348836529521,0.047628760836308015
ACTL9,180,46,5.697983127401871e-23,6.4388495566080735e-22,0.23753187149413568
ACTN2,47,21,0.0024668378317047844,0.006483544024596158,0.04506204317525072
ACTN4,162,30,5.886666498773573e-26,1.0103537997552173e-24,0.23528811830698626
ACTR1B,19,6,0.014161791349667606,0.029494076062863417,0.022913479517253102
ACTR3B,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
ACTR3C,434,163,1.302817760068134e-57,3.212761431970975e-56,0.47443481217066125
