names,scores,logfoldchanges,pvals,pvals_adj
OCM2,4.4133563,1.4873002,1.7489547824563024e-05,0.00011131120630640901
SNORA34,4.37659,1.5234256,1.929616783070399e-05,0.00012085937248384275
SNORA24,4.36658,1.417605,2.0274223322763e-05,0.0001255657660347752
SNORA31,4.29295,1.4096862,2.7899882967959492e-05,0.0001640239174603767
SNORA71B,4.2526984,1.5552567,3.1434836557904245e-05,0.00018068744053483361
SNORA80,4.248721,1.6737512,3.247691940117926e-05,0.00018598652562280794
SNORA45,4.221874,1.5096865,3.790375255660526e-05,0.00021046651360139606
RETN,4.0882335,1.1533556,6.452702388125201e-05,0.00032649765252591246
SNORA49,4.0703,1.5410014,6.742015334822554e-05,0.0003379069868110617
SNORA11E,4.058085,1.3066522,7.059830640206137e-05,0.00035112403663700145
HIST1H3F,4.019514,1.2073573,8.180092060264576e-05,0.00039582515166098535
CEACAM8,3.9882934,1.0017201,9.551125376980519e-05,0.0004507378379875536
LBX1,3.8858,1.1003406,0.00013976912294355162,0.0006200903438812695
CCL7,3.880371,1.10696,0.0001432158136817363,0.000632678028030121
IL4,3.8756082,1.3030975,0.00014650575302702432,0.0006446637662724573
SNORA27,3.8519454,1.3830049,0.00015914228598172807,0.0006923928437241361
HIST1H2BM,3.7877872,1.070232,0.00020154983985521614,0.0008424640927087551
SLC17A3,3.7867358,1.009099,0.00020442685526770405,0.0008523646578809679
LOC728410,3.761551,2.464791,0.0002334403168474386,0.0009535740699160954
LGALS7,3.7375336,1.0578686,0.00024664188163224515,0.0009979769458321618
LOC100240734,3.589648,1.0430344,0.00042179470016002514,0.0015661444271645845
SNORA38B,3.5764918,1.9559816,0.0004459603205514252,0.0016395887662378605
SNORA54,3.4710863,1.5689465,0.0006350267249000065,0.002211819191748326
C5orf46,3.4616175,1.2621475,0.0006626276980035743,0.002291687128835466
AGXT,3.4059172,1.0992718,0.0008022618811074155,0.002693575521381673
C17orf93,3.4040716,1.0071994,0.0008105500445133307,0.0027168686763610773
HIST1H4F,3.3633313,1.3127984,0.0009242350437415462,0.003032250588713703
SNORD15A,3.3220263,1.5670456,0.0010658023969545233,0.003423022449222717
C9orf71,3.3162487,1.940319,0.0011131536751961383,0.003553542627355746
RNU6ATAC,3.300487,1.1510358,0.0011271694578717283,0.0035914468092276574
LGALS7B,3.2309153,1.2506166,0.0014606188722736354,0.0044630514083233595
C3orf24,3.2089522,1.4854198,0.0015758788704821555,0.004764582373964534
HIST1H4L,3.1814027,1.6367059,0.0016937568095404427,0.005078241355340481
IL1F8,3.1446896,1.1762232,0.0019324399889115095,0.0056887368593681225
DEFA4,3.1441917,1.428048,0.001959601842124751,0.005750185218766882
RHAG,3.1247525,1.4631029,0.0020938988604752547,0.0060777748196567845
C1orf129,3.1239402,1.2422173,0.002058712267411647,0.005990334595861659
SNORA15,3.047164,1.6031703,0.002669431568034531,0.007445393634509733
FGF19,2.988611,1.3568687,0.0031859697247334164,0.008641679779181188
FLJ43859,2.9676802,1.4615611,0.0033952211531083397,0.00912925142451665
PSG1,2.9366531,1.1649494,0.0037552837680867985,0.009918445430795616
CSF2,2.8935692,1.4923272,0.004249629381605148,0.011011597617095874
SNORA46,2.8846211,1.2300845,0.004296775677104639,0.011122302248068852
SNORA71D,2.874641,1.2576925,0.004451663425203215,0.011483339503556646
SNORA9,2.870804,1.3135704,0.0045245953784106546,0.011641617831291156
SNORA2A,2.7960303,1.4510981,0.0056998814472756796,0.01414791227009894
SNORA20,2.7424552,1.0769534,0.0066791886868445595,0.016220656446395323
MS4A6E,2.7320237,1.6856478,0.00698625862800971,0.016858610934365973
SNORA25,2.676259,1.3966602,0.008121427787730454,0.019165616918892816
SNORA56,2.6616282,1.510787,0.008489143607240525,0.01989105416846784
HIGD1C,2.6576984,1.0247103,0.008551632822369478,0.020016492044261685
SNORA41,2.6538389,1.6880138,0.008682350511069763,0.02027527888354051
GTSF1L,2.650372,1.0474492,0.008673733123603809,0.020257506730979966
CLRN1,2.6333969,1.3960087,0.009226925548138065,0.021336469905453057
SNORA29,2.629111,1.3139309,0.009271361094400524,0.021429370691308566
SNORD89,2.6099274,1.3630775,0.009760780069154753,0.022367852082384707
SNORA14B,2.6013215,1.2355895,0.00997242088199401,0.022762101577485306
HIST1H2BI,2.5974686,1.0176294,0.010011562510003921,0.022833308533755682
SNORA77,2.559353,1.3097361,0.011106034137744301,0.024905940785100864
UNCX,2.5529456,1.339346,0.011506473329939839,0.025686554644000187
IL31,2.542175,1.3423604,0.011829882373077286,0.0262893339987271
SPATA8,2.5355208,1.452479,0.01214018232387839,0.02685684935031729
SNORA37,2.5257893,1.5270922,0.012287046568951797,0.02712805123728844
RNF113B,2.5123289,1.2506089,0.012953307882294493,0.028356327309684508
KLF14,2.5099475,1.0434235,0.01291220803416653,0.02828174210466655
SNORA36A,2.4803395,1.7710586,0.014061850638396965,0.030422229394910218
SNORA71A,2.4768248,1.2012615,0.013997075418668929,0.03029838210380692
CLC,2.4554317,1.0130819,0.015081293219686528,0.03227438941428719
SNORA64,2.4419181,1.11953,0.015388542314442623,0.0328264971139812
LOC390858,2.4412777,1.1036817,0.0156230026002272,0.033263156557452725
C12orf74,2.3816803,1.0528088,0.018207697350783265,0.03795093817893263
SCARNA15,2.3782728,1.3296293,0.01842290045278925,0.03835975070474168
SCARNA1,2.3664026,1.5599715,0.019051446945713407,0.0395008770126623
SNAR-A3,2.3503516,4.5770903,0.02003006569820178,0.0411903160294821
SNORA50,2.3476124,1.8925577,0.020061543350787515,0.04123818628089743
SCARNA22,2.340823,1.5518808,0.02019730405639547,0.041463659500937264
IL20,2.3316963,1.1474353,0.020849675320143004,0.04260576618493011
ACTRT2,2.3304636,1.8565907,0.020855778671597543,0.04260958213823493
