Gene,GBM_gain,LGG_gain,pval,FDR
OR5G5P,5,20,0.0018656248918544078,0.005033768348161965
OR5H1,28,5,5.949475379404536e-05,0.00025311394121217375
OR5H14,28,5,5.949475379404536e-05,0.00025311394121217375
OR5H2,29,5,3.430961624841727e-05,0.00015839588589570567
OR5H6,29,6,0.00010498855889076932,0.00040069076935745203
OR5H8P,29,5,3.430961624841727e-05,0.00015839588589570567
OR5K1,29,5,3.430961624841727e-05,0.00015839588589570567
OR5K2,29,5,3.430961624841727e-05,0.00015839588589570567
OR5K3,29,5,3.430961624841727e-05,0.00015839588589570567
OR5K4,29,5,3.430961624841727e-05,0.00015839588589570567
OR5M10,5,20,0.0018656248918544078,0.005033768348161965
OR5M11,5,20,0.0018656248918544078,0.005033768348161965
OR5M3,5,21,0.001099366388129393,0.003118493297686378
OR5M8,5,20,0.0018656248918544078,0.005033768348161965
OR5M9,5,21,0.001099366388129393,0.003118493297686378
OR5P2,6,14,0.07045759248002104,0.11595968480711846
OR5P3,6,14,0.07045759248002104,0.11595968480711846
OR5T1,5,21,0.001099366388129393,0.003118493297686378
OR5T3,5,21,0.001099366388129393,0.003118493297686378
OR6A2,7,14,0.1233006032899853,0.18858625727762493
OR6B1,431,162,1.200913345893948e-56,2.6640054104335764e-55
OR6B2,14,6,0.1139016199639018,0.17748231257707794
OR6C1,34,11,0.0007391721636164973,0.0021830653988579264
OR6C2,36,11,0.0004708648962629411,0.0014580307241395568
OR6C4,36,11,0.0004708648962629411,0.0014580307241395568
OR6C6,34,10,0.00034472901550832563,0.0011112127827654077
OR6C65,36,11,0.0004708648962629411,0.0014580307241395568
OR6C68,38,11,0.0001888164492934988,0.0006576172160226727
OR6C70,37,11,0.00029917220412351985,0.0009812116535328722
OR6C74,36,10,0.00013590098462007186,0.000507323138708486
OR6C75,36,11,0.0004708648962629411,0.0014580307241395568
OR6C76,36,11,0.0004708648962629411,0.0014580307241395568
OR6K2,53,27,0.005214213350522526,0.01244549524763943
OR6K3,53,27,0.005214213350522526,0.01244549524763943
OR6Q1,4,21,0.0003673014703867487,0.0011761478640230686
OR6S1,7,8,0.7984856295202869,0.8612725161162496
OR6T1,9,54,4.4310640859231015e-10,3.1038115877981876e-09
OR7A10,178,48,1.3610128752432245e-21,1.1706581535167666e-20
OR7A17,179,48,7.498757286235427e-22,6.715345076009758e-21
OR7C2,179,48,7.498757286235427e-22,6.715345076009758e-21
OR7D2,181,47,8.424094433323936e-23,9.154345166400787e-22
OR7E14P,6,17,0.01909787301443354,0.038618402410842516
OR7E24,183,47,2.484825582402883e-23,2.954640585631551e-22
OR7E47P,38,8,7.642912219446183e-06,4.0573084380220136e-05
OR8B12,9,56,1.2940112751507417e-10,9.245224229407155e-10
OR8B2,9,57,6.95787068810752e-11,4.990129035052471e-10
OR8B4,9,56,1.2940112751507417e-10,9.245224229407155e-10
OR8D1,9,56,1.2940112751507417e-10,9.245224229407155e-10
OR8S1,31,9,0.0006158722150697749,0.0018454048136308618
OR9A1P,434,164,6.261008938411741e-57,1.4118293128688817e-55
OR9A2,431,164,8.794304900520302e-56,1.829264141219029e-54
OR9A3P,434,164,6.261008938411741e-57,1.4118293128688817e-55
OR9G1,5,20,0.0018656248918544078,0.005033768348161965
OR9G4,5,20,0.0018656248918544078,0.005033768348161965
OR9I1,4,21,0.0003673014703867487,0.0011761478640230686
OR9K2,35,10,0.00021711505582627013,0.0007510022895165911
OR9Q1,4,21,0.0003673014703867487,0.0011761478640230686
OR9Q2,4,21,0.0003673014703867487,0.0011761478640230686
ORAI1,29,17,0.13099079856838292,0.19985977983338155
ORAI2,428,152,1.1568458565832127e-59,3.5169050757422446e-58
ORAOV1,6,31,1.335779475935544e-05,6.793341066576363e-05
