names,scores,logfoldchanges,pvals,pvals_adj
LOC100132247,7.1530285,0.1252966,9.363258417813836e-12,1.2311766852913643e-09
RPS26,7.144208,0.09399934,7.969303095526241e-12,1.061764501164218e-09
MXD3,7.1432166,0.12234441,9.903480553694653e-12,1.2854078824466388e-09
GUSB,7.1392426,0.080485664,1.1064918855225207e-11,1.4178601116523613e-09
TRABD,7.1356764,0.064683154,6.5947153394119635e-12,9.098634885159938e-10
ATP5J2,7.126671,0.06679897,1.5395394130758026e-11,1.8435984471582738e-09
ZNF552,7.1266313,0.11168354,1.3620219940636076e-11,1.670802346132418e-09
ZNF814,7.0957236,0.072254285,1.180764288992196e-11,1.4940010041474843e-09
EED,7.076232,0.04281732,1.3074077455486485e-11,1.6136459524507799e-09
TARBP2,7.0662313,0.06711419,1.9684422464565722e-11,2.262921206526475e-09
ZNF586,7.047549,0.07853719,1.746955065563794e-11,2.043328023779791e-09
SNORD94,7.0364356,1.3276465,2.731560056271377e-11,3.0361063653076e-09
PABPC3,7.0250077,0.100467905,1.4842236189290414e-11,1.7987717328683404e-09
SEPT7P2,6.986819,0.06652978,1.8239903479508186e-11,2.1211004520274315e-09
MSH5,6.971128,0.119078584,2.1029442853467393e-11,2.3767996141913316e-09
BCL2L12,6.9432087,0.18818521,3.066478428292852e-11,3.2990060438714223e-09
TBCA,6.9408755,0.054671902,4.398470110067999e-11,4.4024090385247765e-09
SNORA10,6.936717,1.5441566,5.4258106682393536e-11,5.22279708247078e-09
AGXT2L2,6.93357,0.058190838,3.040805898788931e-11,3.2889748963352536e-09
VKORC1,6.9252615,0.07395649,4.429482993727753e-11,4.411501924149254e-09
OSGEP,6.9242105,0.049361654,3.9767860156813224e-11,4.040655609266508e-09
F8A1,6.923671,0.069838025,3.222883698676773e-11,3.4125249605252273e-09
PLSCR3,6.907746,0.053384904,3.03555436200122e-11,3.2889748963352536e-09
ZNF137,6.9074774,0.10671157,3.5468423429899706e-11,3.6971696505840535e-09
NPFF,6.904754,0.21553709,3.5075291508103755e-11,3.6752328883334964e-09
ZNF20,6.898669,0.07888062,4.6174375182578025e-11,4.531395511820023e-09
POC5,6.8964057,0.0577571,5.458152873474163e-11,5.2289104527882484e-09
HOXB2,6.8950496,0.56917053,5.2754620334436654e-11,5.102487749462484e-09
QPCTL,6.8850865,0.09309387,6.215407185939563e-11,5.788961192904265e-09
GTPBP2,6.87884,0.047926508,5.5526298708783896e-11,5.294208897740826e-09
TGFB1I1,6.8662105,0.113794945,4.671919840085266e-11,4.5626059875162806e-09
MFSD10,6.84063,0.05471254,4.536025799613898e-11,4.473321913560412e-09
PPIH,6.834266,0.083683886,8.415162735384781e-11,7.39284907905987e-09
HIC1,6.8306437,0.16021742,5.982700133883905e-11,5.650702408144432e-09
MIR155HG,6.826851,0.45157063,6.490510457984235e-11,6.017331308466676e-09
GEMIN6,6.81593,0.07564552,8.029904367665484e-11,7.1165469633786e-09
RPL36A,6.8154902,0.14104365,6.15631545350797e-11,5.7623892872259645e-09
SCARNA7,6.815103,0.58765036,8.917175287025963e-11,7.732574673465014e-09
SNORA48,6.8073673,1.4861721,1.0657191361886195e-10,9.084804060102816e-09
ACYP1,6.8046947,0.09556983,5.933588959391963e-11,5.630752013445638e-09
FKBP11,6.802215,0.098684244,7.149684527313504e-11,6.5380615145678675e-09
MRPL33,6.7913356,0.061218724,1.2186371861692394e-10,1.0024117106476652e-08
FLJ12825,6.7898517,0.37757444,8.967123265706992e-11,7.742514414570526e-09
B3GALNT2,6.7774954,0.058432244,8.846611426926644e-11,7.70730756187478e-09
MEMO1,6.7669125,0.04925837,1.3761837821827866e-10,1.0900025720454056e-08
CHST12,6.764093,0.06001775,8.84972684557647e-11,7.70730756187478e-09
C7orf11,6.7539396,0.051610913,7.613275181098264e-11,6.8992734276276965e-09
