Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
ACTL10,10,0,0.0019187080609035395,0.004895182148589159,0.018018018018018018
ACTL8,30,181,2.365117456087555e-35,1.9564314110874037e-34,0.2874553799082101
ACTN4,31,207,1.2953340982950224e-43,1.5755877590759374e-42,0.33471018187999324
ACY3,58,17,1.9393191879231245e-06,7.95316757875544e-06,0.07242903280639129
ADA,11,1,0.006234091590507687,0.014154855482558416,0.01793302736698963
ADAD1,25,63,1.0589130776856793e-05,3.801862393163067e-05,0.07382287948325685
ADAD2,54,17,1.2277584726778032e-05,4.374617594062134e-05,0.0652218255991841
ADAM10,81,52,0.02035281704685063,0.04080341888132793,0.04783273839877614
ADAM12,468,135,4.4310686909148925e-90,1.0085380890139926e-88,0.5885262621111678
ADAM18,30,8,0.0004279066194789238,0.0012457389995760453,0.03895971443141255
ADAM2,29,8,0.0006888389931205767,0.001931269009827791,0.03715791262961074
ADAM28,41,14,0.00043896605059576916,0.001274970613311996,0.047458779534251226
ADAM29,43,85,2.9498786400849426e-05,9.891311815034824e-05,0.08289988101308855
ADAM30,13,175,4.787304893412071e-46,7.064331444875848e-45,0.3067652558218596
ADAM32,32,9,0.00038673325836441,0.001131795637473245,0.04067652558218596
ADAM3A,30,8,0.0004279066194789238,0.0012457389995760453,0.03895971443141255
ADAM5,30,9,0.0009740817847902242,0.002639368068383613,0.03707292197858236
ADAM7,41,14,0.00043896605059576916,0.001274970613311996,0.047458779534251226
ADAM8,465,134,1.0327008592977264e-88,2.318868805436539e-87,0.5850076491585925
ADAMDEC1,40,14,0.000669746089171167,0.0018847744008110285,0.04565697773244943
ADAMTS13,49,26,0.011802391821365544,0.025084257207209,0.03923168451470338
ADAMTS14,460,89,8.198379656653649e-114,3.3096618561234632e-111,0.660904300526942
ADAMTS17,66,40,0.01841916641355045,0.037275052925280196,0.04344722080571138
ADAMTS18,59,17,1.208549081402144e-06,5.137188540131015e-06,0.0742308346081931
ADAMTS3,26,61,4.537956111168808e-05,0.00014780827558971775,0.06824749277579467
ADAMTS7,68,40,0.011032577170914855,0.02365901131498686,0.047050824409314976
ADAMTS8,46,12,9.468273046722346e-06,3.4223387321429995e-05,0.060241373448920624
ADAMTSL1,282,134,4.051109676830586e-18,2.842399325798648e-17,0.25527791942886285
ADAMTSL2,49,26,0.011802391821365544,0.025084257207209,0.03923168451470338
ADAMTSL3,68,40,0.011032577170914855,0.02365901131498686,0.047050824409314976
ADAP2,44,12,2.4992513848250354e-05,8.457705407263276e-05,0.056637769845317015
ADARB2,425,80,2.8965248729975383e-98,8.684949429574656e-97,0.6148223695393507
ADAT1,57,17,3.0979581152002157e-06,1.2282271524554668e-05,0.07062723100458951
ADAT2,114,75,0.006398874485181096,0.014474309970846323,0.06389597144314127
ADC,18,175,1.067977692028586e-41,1.1125631684919152e-40,0.29775624681285057
ADCK4,42,214,2.7065956236934592e-39,2.5963269130985403e-38,0.3280979092299847
ADCY10P1,42,17,0.0018575264716447276,0.004753622258440732,0.04360020397756247
ADCY7,51,9,3.1999278309119516e-08,1.5901196121719927e-07,0.0749107598164202
ADCY9,23,9,0.019296343833463993,0.03889301986667062,0.024460309365969744
ADD3,466,119,3.1024906650218045e-98,9.28398700596764e-97,0.6151113377528472
ADGB,111,76,0.01573459735685877,0.03237434892408334,0.056603773584905676
ADH1A,25,62,1.6174349391967775e-05,5.634765226487475e-05,0.07193608703042666
ADH5,25,61,2.4581498310210675e-05,8.33739597236362e-05,0.07004929457759647
ADH7,25,62,1.6174349391967775e-05,5.634765226487475e-05,0.07193608703042666
ADIPOR2,31,12,0.005019277004726993,0.01160886515242631,0.033214346421893595
ADK,462,90,1.7905425882639297e-114,1.681095672556297e-111,0.6626211116777155
ADM5,62,241,8.390284497146948e-38,7.56990112409258e-37,0.3430052694203638
ADO,451,84,2.758322437406127e-111,4.603946628301649e-109,0.6541220465748768
ADORA2A,143,40,2.6394748330209206e-16,1.7965650630557442e-15,0.1821859595444501
ADORA2B,41,5,3.3180127957464445e-08,1.645532790284024e-07,0.06443991160972293
ADORA3,11,178,7.206033707273123e-49,1.2259234241297494e-47,0.3160292367839537
ADPRHL1,124,62,3.8038240760172917e-06,1.4837975920522397e-05,0.10644229134795172
ADRA1A,39,13,0.0005234457598051231,0.0014920687293724021,0.04574196838347782
ADRA1B,25,43,0.01690033613506813,0.03452228031289005,0.036087030426653066
ADRA2A,465,121,2.1840663896031714e-96,6.020008312774099e-95,0.609535951045385
ADRB1,467,128,2.3509074726415425e-93,5.8469092804670944e-92,0.5999320074791772
ADRB3,37,10,8.456282189775842e-05,0.00026642254835321455,0.04779874213836478
ADRBK1,52,16,1.4324116572951958e-05,5.0274971766094466e-05,0.06350501444841067
ADRBK2,142,40,4.556909341226344e-16,3.079347373994698e-15,0.18038415774264832
ADSL,153,50,8.587587261105248e-15,5.4988378446855507e-14,0.18133605303416625
ADTRP,51,27,0.009614940896617826,0.020914515225744713,0.0409484956654768
AEBP2,41,10,1.9055381272330483e-05,6.597140757615776e-05,0.055005949345571986
AFG3L1P,50,19,0.000262459736273372,0.0007819655212809587,0.0542410334863165
AFP,23,62,4.235174888355379e-06,1.629631075124859e-05,0.07553969063403027
AGA,47,87,6.86275290911981e-05,0.00021841583517118177,0.07946625871154173
AGAP1,28,50,0.006545913655812696,0.01478465117089435,0.04388917219105899
AGAP11,464,103,6.922980860575577e-107,5.4165113795607455e-105,0.6416964133945267
AGAP6,443,84,2.3433785183565653e-106,1.6522030890387458e-104,0.6397076321604623
AGBL1,67,40,0.014297253084942474,0.029714075241008,0.04524902260751318
AGBL4,18,182,3.295387621809327e-44,4.245567140207522e-43,0.3109637939826619
AGFG1,12,26,0.019627675701210504,0.03941804069299254,0.027434982151963286
AGL,14,177,7.285112637380047e-46,1.0594091194455281e-44,0.30873703892571813
AGMAT,34,185,3.1836976222991798e-34,2.5768052630483986e-33,0.28779534251232364
AGO1,15,174,7.19015851111101e-44,8.882447463314932e-43,0.3012748597654258
AGO3,14,174,9.267170816662758e-45,1.255288007285013e-43,0.30307666156722757
AGO4,16,174,5.268598984308307e-43,5.97319954281354e-42,0.299473057963624
AGPAT4,122,74,0.0006686121355452628,0.0018837005814255324,0.08019717831038586
AGPAT5,38,17,0.008029219853288385,0.01770364606430326,0.036392996770355256
AGPAT9,27,62,5.490471465367841e-05,0.0001774862542559839,0.06833248342682305
AGRP,46,15,0.00010086803264047187,0.0003144329912014158,0.05458099609043005
AGTPBP1,42,22,0.019915382518872746,0.039953108466680876,0.03416624171341153
AGXT,22,55,4.5160796303427096e-05,0.00014738333305889243,0.06413394526602074
AHCY,10,0,0.0019187080609035395,0.004895182148589159,0.018018018018018018
AHCYL1,10,178,6.145671717848907e-50,1.091256271223715e-48,0.31783103858575557
