Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
CHMP4B,179,39,6.112026012617255e-26,1.0395289542184137e-24,0.24893761686214516
CHN2,427,105,2.059634940022537e-83,2.9180752386092887e-81,0.5712561618221996
CHRM2,434,164,6.261008938411741e-57,1.4118293128688817e-55,0.47254801971783106
CHRNA4,177,47,9.400503717423133e-22,8.198418398853695e-21,0.2302396736359001
CHST12,422,100,7.176340590530854e-84,1.2679327410422631e-81,0.5716811150773415
CHST8,167,32,2.6657229882820017e-26,4.765931885478464e-25,0.24052354241033486
CKM,133,25,1.6353462373483023e-20,1.3304241491060024e-19,0.19246982831888493
CLASRP,132,26,9.923823023702502e-20,7.662517952183248e-19,0.18878123406425296
CLC,153,31,6.634648749963155e-23,7.435757830369153e-22,0.21718510963793985
CLDN12,437,133,2.630758197725406e-73,1.062062543372047e-71,0.5364439911609722
CLDN3,434,112,2.889720454485779e-83,3.16772421791733e-81,0.5706612272650009
CLDND2,135,29,4.66502079733901e-19,3.475162814208198e-18,0.1885262621111678
CLEC11A,132,26,9.923823023702502e-20,7.662517952183248e-19,0.18878123406425296
CLEC2L,436,166,4.9170444202596075e-57,1.14133188722502e-55,0.47237803841577425
CLEC4G,178,47,5.162432934071453e-22,4.7916821881263956e-21,0.23204147543770187
CLEC4M,178,47,5.162432934071453e-22,4.7916821881263956e-21,0.23204147543770187
CLIP2,436,112,2.2207837172847537e-84,5.0532924039670357e-82,0.5742648308686045
CLIP3,164,29,4.3334471563573254e-27,8.237937897996749e-26,0.24077851436342002
CLPP,168,45,2.8458416955479455e-20,2.27576414183914e-19,0.21779704232534425
CLPTM1,132,27,3.1174267466546977e-19,2.3479195025707245e-18,0.18689444161142277
CNBD2,180,41,2.974984512159542e-25,4.851065950446471e-24,0.24696583375828662
CNFN,141,28,3.7453015603978235e-21,3.121361755496921e-20,0.2012238653748088
CNN1,184,47,1.344583391186522e-23,1.675763765048895e-22,0.24285228624851268
CNN2,188,55,3.939748953219402e-21,3.281594552382084e-20,0.23496515383307834
CNOT3,141,26,3.4080518074529323e-22,3.2683347410171226e-21,0.20499745028046917
CNOT4,437,163,8.247662633147311e-59,2.3326440192957878e-57,0.4798402175760666
CNPY4,432,151,4.871076485640155e-62,1.625640592474308e-60,0.49347271800101994
CNTNAP2,440,166,5.628288170278962e-59,1.6380936383963072e-57,0.4795852456229815
COA1,419,110,2.6186744001832693e-76,1.1399203519406476e-74,0.5474077851436341
COBL,422,104,3.0151453259482094e-81,1.9602360391813944e-79,0.5641339452660208
COG5,430,157,2.2508886841661058e-58,6.079828463814133e-57,0.47854835968043513
COL1A2,438,144,2.352402207001135e-68,8.723055887590876e-67,0.517491075981642
COL20A1,177,47,9.400503717423133e-22,8.198418398853695e-21,0.2302396736359001
COL26A1,430,152,1.288011155303884e-60,4.046726261580278e-59,0.4879823219445861
COL28A1,422,102,1.101832284084757e-82,9.45560985279136e-81,0.5679075301716812
COL5A3,184,49,9.842795527074249e-23,1.050597748582808e-21,0.2390787013428523
COL9A3,176,45,2.3903890135738236e-22,2.3602144777022803e-21,0.23221145673975863
COMMD7,179,40,1.8749027654032004e-25,3.0705877569056995e-24,0.24705082440931497
COPG2,436,168,3.4799835369711325e-56,7.38707013855985e-55,0.46860445351011387
COX4I2,181,40,5.144042414879119e-26,8.962091529774317e-25,0.2506544280129186
COX6B1,164,30,1.5690036663649413e-26,2.842376002589709e-25,0.23889172191058983
COX6B2,144,25,1.3921345516181242e-23,1.7250063280693885e-22,0.21228964813870477
CPA2,437,168,1.1596153150748255e-56,2.5800152298953673e-55,0.47040625531191566
CPAMD8,178,47,5.162432934071453e-22,4.7916821881263956e-21,0.23204147543770187
CPED1,427,162,8.19002598379968e-55,1.6734395948939263e-53,0.46370899201087884
CPM,78,16,2.4597760744397276e-11,1.767507994542384e-10,0.11035186129525754
CPNE1,179,41,5.639097777625378e-25,8.999784317149621e-24,0.24516403195648478
CPSF4,432,151,4.871076485640155e-62,1.625640592474308e-60,0.49347271800101994
CPT1C,129,26,6.3045481541317535e-19,4.654951041236513e-18,0.18337582865884755
CPVL,427,105,2.059634940022537e-83,2.9180752386092887e-81,0.5712561618221996
CREB3L2,436,164,6.833579626137655e-58,1.7161655321962424e-56,0.4761516233214346
CREB3L3,180,44,7.353242217597066e-24,9.495356115552256e-23,0.24130545639979606
CREB5,427,105,2.059634940022537e-83,2.9180752386092887e-81,0.5712561618221996
