Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
ATP4B,123,61,3.4387483429017276e-06,1.3522742829075852e-05,0.10652728199898012
ATP5C1,423,80,4.235566630082153e-97,1.1782718873535944e-95,0.6112187659357471
ATP5EP2,149,84,1.1864574913955698e-05,4.2465962439228615e-05,0.1099779024307326
ATP5S,126,62,1.8876126283428315e-06,7.796457768206218e-06,0.11004589495155534
ATP6V1E1,134,36,9.58882374397821e-16,6.399080865483814e-15,0.17351691313955464
ATP7B,202,98,3.564216070739801e-11,2.0296305464235515e-10,0.1790583035866055
ATP8A2,151,84,6.325338364803698e-06,2.3630746808276836e-05,0.11358150603433623
ATP8B5P,147,51,3.780921045119613e-13,2.3469833032969764e-12,0.16863844977052525
ATRNL1,470,129,9.083431908157743e-95,2.4023118683863665e-93,0.6034506204317525
ATXN10,168,59,3.822694202830559e-15,2.4978039284436996e-14,0.19138194798572158
ATXN8OS,184,93,4.003739486488295e-09,2.0611437479789986e-08,0.156059833418324
AURKC,55,255,2.3068029223782576e-46,3.451473456171931e-45,0.38203297637259903
AVEN,107,46,5.155535593050556e-07,2.3077430487951757e-06,0.10600033996260412
AXL,45,217,1.3583887038265946e-38,1.2713841189335267e-37,0.3283528811830699
B3GALTL,152,81,1.3634839730062587e-06,5.753442764747196e-06,0.12104368519462858
B3GNT8,47,219,3.792961115472028e-38,3.495574348258945e-37,0.32852286248512663
B4GALT1,171,70,2.344926391096981e-12,1.4209553952020511e-11,0.17603263640999492
BAG1,168,69,4.967618084641715e-12,2.9718661436673774e-11,0.1725140234574197
BAG3,472,133,8.138552046901664e-94,2.0721581160772338e-92,0.5995070542240353
BAI2,18,174,2.4194289083149074e-41,2.4657164898715426e-40,0.2958694543600204
BAIAP2L2,149,46,2.8548407562066988e-15,1.875182240478226e-14,0.1816760156382798
BAMBI,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
BAX,65,239,1.0716445822774263e-35,8.973380666093365e-35,0.33382627910929796
BAZ1A,140,54,8.11771969233195e-11,4.4948170003026375e-10,0.15036545979942204
BBC3,65,241,2.4279421872342138e-36,2.064094371060122e-35,0.33759986401495834
BCAM,49,235,1.8782771837901e-42,2.0401648485101144e-41,0.3551079381268061
BCAR3,27,179,2.0782718262179855e-36,1.7768810115792018e-35,0.2890872004079551
BCAS2,12,177,1.817363593179497e-47,2.926091735985252e-46,0.31234064252932175
BCAT2,63,240,5.542155841748052e-37,4.823537952186514e-36,0.3393166751657318
BCCIP,470,135,2.2459959104989138e-91,5.230907064730959e-90,0.5921298657147713
BCKDHA,48,220,6.254700268174187e-38,5.6669546096811e-37,0.32860785313615504
BCL2L13,134,36,9.58882374397821e-16,6.399080865483814e-15,0.17351691313955464
BCL3,50,236,3.179430538978043e-42,3.409093901251118e-41,0.3551929287778345
BCR,141,39,3.192056853150622e-16,2.1667906935394778e-15,0.18046914839367673
BEND5,10,180,1.0884779084785958e-50,2.0186561902673413e-49,0.32160462349141594
BEND7,421,77,5.873196205157944e-98,1.7299441841937774e-96,0.6132755396906341
BEST4,3,173,9.903639137441096e-57,2.0983422725337114e-55,0.3210096889342172
BICC1,449,83,1.1658685480558955e-110,1.7871099315199657e-108,0.6524052354241033
BID,133,36,1.6610637621961922e-15,1.101169454356187e-14,0.17171511133775286
BIK,164,57,6.510205292825788e-15,4.209914072700344e-14,0.18794832568417472
BIRC8,62,251,3.655995539801984e-41,3.703664439322187e-40,0.3618731939486657
BIVM,130,68,6.693062182910327e-06,2.483774212245033e-05,0.1059323474417814
BLNK,468,105,2.484270439607847e-108,2.9854968435031265e-106,0.6451300356960734
BLOC1S3,52,241,8.31411266357556e-43,9.348398235945514e-42,0.3610232874383818
