Gene,GBM_loss,LGG_loss,pval,FDR
ACTG2,11,8,0.6463669807125458,0.7709133039601651
ACTL10,10,0,0.0019187080609035395,0.004895182148589159
ACTL6A,10,18,0.124910953127144,0.19776689901728048
ACTL6B,2,3,0.680022832919075,0.7924982929488241
ACTL7B,41,24,0.05467673463241214,0.0968463515679867
ACTL8,30,181,2.365117456087555e-35,1.9564314110874037e-34
ACTL9,13,4,0.04830281501771859,0.08662904574930382
ACTN1,135,100,0.03246634743752905,0.06132396217861955
ACTN2,22,18,0.6331743178265401,0.7629377237820073
ACTN4,31,207,1.2953340982950224e-43,1.5755877590759374e-42
ACTR1B,8,4,0.38656153385757197,0.5164926942638483
ACTR2,22,9,0.0284785623542344,0.05448356643979995
ACTR3,10,6,0.4530657644335597,0.5885975882833983
ACTR3B,5,3,0.7261349050046062,0.8326716445022286
ACTR3C,4,4,1.0,1.0
ACTR6,30,38,0.2600186634631556,0.3739946727827962
ACTRT1,11,13,0.6816734346528801,0.7938676126331936
ACTRT3,16,19,0.6069062426926441,0.7426641884757983
ACVR1,8,10,0.6386653541581911,0.7669089488540646
ACVR1B,43,41,1.0,1.0
ACVR1C,8,10,0.6386653541581911,0.7669089488540646
ACVR2A,8,10,0.6386653541581911,0.7669089488540646
ACVR2B,26,29,0.5819731916830344,0.7188883550252892
ACVRL1,43,41,1.0,1.0
ACY3,58,17,1.9393191879231245e-06,7.95316757875544e-06
ACYP2,9,8,1.0,1.0
ADA,11,1,0.006234091590507687,0.014154855482558416
ADAD1,25,63,1.0589130776856793e-05,3.801862393163067e-05
ADAD2,54,17,1.2277584726778032e-05,4.374617594062134e-05
ADAM10,81,52,0.02035281704685063,0.04080341888132793
ADAM11,19,7,0.02815702138835105,0.053964630683313274
ADAM12,468,135,4.4310686909148925e-90,1.0085380890139926e-88
ADAM15,2,1,1.0,1.0
ADAM17,14,15,0.8513106856825392,0.926157960625949
ADAM18,30,8,0.0004279066194789238,0.0012457389995760453
ADAM19,28,41,0.08122118142277707,0.13675236352084252
ADAM1A,29,39,0.1683444809021016,0.25789909731963884
ADAM2,29,8,0.0006888389931205767,0.001931269009827791
ADAM20P1,134,101,0.04649769851066984,0.08369140031479538
ADAM21,134,100,0.03863682626641808,0.0715927475236379
ADAM21P1,135,100,0.03246634743752905,0.06132396217861955
ADAM22,2,4,0.44181760853660845,0.5776313416394196
ADAM23,8,11,0.49178571611551897,0.6290535616048473
ADAM28,41,14,0.00043896605059576916,0.001274970613311996
ADAM29,43,85,2.9498786400849426e-05,9.891311815034824e-05
ADAM30,13,175,4.787304893412071e-46,7.064331444875848e-45
ADAM32,32,9,0.00038673325836441,0.001131795637473245
ADAM33,10,6,0.4530657644335597,0.5885975882833983
ADAM3A,30,8,0.0004279066194789238,0.0012457389995760453
ADAM5,30,9,0.0009740817847902242,0.002639368068383613
ADAM7,41,14,0.00043896605059576916,0.001274970613311996
ADAM8,465,134,1.0327008592977264e-88,2.318868805436539e-87
ADAMDEC1,40,14,0.000669746089171167,0.0018847744008110285
ADAMTS1,27,22,0.6613618122444469,0.7819109454677557
ADAMTS10,13,4,0.04830281501771859,0.08662904574930382
ADAMTS12,17,20,0.6163581868252415,0.7523917343156815
ADAMTS13,49,26,0.011802391821365544,0.025084257207209
ADAMTS14,460,89,8.198379656653649e-114,3.3096618561234632e-111
ADAMTS16,30,32,0.6957524449253456,0.8065745661111701
ADAMTS17,66,40,0.01841916641355045,0.037275052925280196
ADAMTS18,59,17,1.208549081402144e-06,5.137188540131015e-06
ADAMTS19,20,31,0.08640546063798879,0.14409223242716115
ADAMTS2,32,38,0.3875303145978979,0.5168217672132122
ADAMTS20,57,46,0.4077009860530461,0.5403638796972701
ADAMTS3,26,61,4.537956111168808e-05,0.00014780827558971775
ADAMTS5,27,22,0.6613618122444469,0.7819109454677557
ADAMTS6,17,16,1.0,1.0
ADAMTS7,68,40,0.011032577170914855,0.02365901131498686
ADAMTS8,46,12,9.468273046722346e-06,3.4223387321429995e-05
ADAMTS9,32,32,0.8977746748396659,0.9640007981016055
ADAMTSL1,282,134,4.051109676830586e-18,2.842399325798648e-17
ADAMTSL2,49,26,0.011802391821365544,0.025084257207209
ADAMTSL3,68,40,0.011032577170914855,0.02365901131498686
ADAP2,44,12,2.4992513848250354e-05,8.457705407263276e-05
ADAR,2,1,1.0,1.0
ADARB1,28,22,0.5628881395287524,0.7000335815879558
ADARB2,425,80,2.8965248729975383e-98,8.684949429574656e-97
ADAT1,57,17,3.0979581152002157e-06,1.2282271524554668e-05
ADAT2,114,75,0.006398874485181096,0.014474309970846323
ADC,18,175,1.067977692028586e-41,1.1125631684919152e-40
ADCK1,132,101,0.06445030840562875,0.11139943998036532
ADCK2,3,3,1.0,1.0
ADCK3,21,12,0.16004329865862954,0.247520892870373
ADCK4,42,214,2.7065956236934592e-39,2.5963269130985403e-38
ADCK5,20,25,0.365930146760394,0.49612462258789836
ADCY1,5,1,0.21820005126498443,0.32031673703729074
ADCY10,5,1,0.21820005126498443,0.32031673703729074
ADCY10P1,42,17,0.0018575264716447276,0.004753622258440732
ADCY2,23,30,0.2623256361473036,0.376196248802367
ADCY3,20,12,0.2124514425095564,0.3138715154778281
ADCY5,42,25,0.05831065864757937,0.10194863992131487
ADCY6,48,45,1.0,1.0
ADCY7,51,9,3.1999278309119516e-08,1.5901196121719927e-07
ADCY8,20,9,0.059968271422319905,0.10448195004709923
ADCY9,23,9,0.019296343833463993,0.03889301986667062
ADCYAP1,53,54,0.7603989406231763,0.8616363344679304
ADCYAP1R1,2,3,0.680022832919075,0.7924982929488241
ADD1,31,38,0.32008652547442157,0.4441474030737817
ADD2,16,9,0.22723874874760935,0.3316731911860268
ADD3,466,119,3.1024906650218045e-98,9.28398700596764e-97
ADGB,111,76,0.01573459735685877,0.03237434892408334
ADH1A,25,62,1.6174349391967775e-05,5.634765226487475e-05
ADH5,25,61,2.4581498310210675e-05,8.33739597236362e-05
ADH7,25,62,1.6174349391967775e-05,5.634765226487475e-05
ADHFE1,20,12,0.2124514425095564,0.3138715154778281
ADIPOQ,25,25,0.8858219608802115,0.9541673237016016
ADIPOR2,31,12,0.005019277004726993,0.01160886515242631
ADK,462,90,1.7905425882639297e-114,1.681095672556297e-111
ADM,69,80,0.21722520683835106,0.3198859971694647
ADM5,62,241,8.390284497146948e-38,7.56990112409258e-37
ADNP2,52,54,0.6830731698041199,0.7950046607885248
ADO,451,84,2.758322437406127e-111,4.603946628301649e-109
ADORA1,5,6,0.7687167333522693,0.8666813846005547
ADORA2A,143,40,2.6394748330209206e-16,1.7965650630557442e-15
ADORA2B,41,5,3.3180127957464445e-08,1.645532790284024e-07
ADORA3,11,178,7.206033707273123e-49,1.2259234241297494e-47
ADPGK,65,41,0.0314948125229598,0.05982991889578424
ADPRH,38,25,0.15343067616184292,0.23815987531658675
ADPRHL1,124,62,3.8038240760172917e-06,1.4837975920522397e-05
ADRA1A,39,13,0.0005234457598051231,0.0014920687293724021
ADRA1B,25,43,0.01690033613506813,0.03452228031289005
ADRA1D,10,6,0.4530657644335597,0.5885975882833983
ADRA2A,465,121,2.1840663896031714e-96,6.020008312774099e-95
ADRA2C,28,38,0.16256735644632422,0.2508563768399263
ADRB1,467,128,2.3509074726415425e-93,5.8469092804670944e-92
ADRB2,26,35,0.1883300039631825,0.2827396881406084
ADRB3,37,10,8.456282189775842e-05,0.00026642254835321455
ADRBK1,52,16,1.4324116572951958e-05,5.0274971766094466e-05
ADRBK2,142,40,4.556909341226344e-16,3.079347373994698e-15
ADSL,153,50,8.587587261105248e-15,5.4988378446855507e-14
ADSS,13,15,0.7029820036010421,0.8128855098217885
ADTRP,51,27,0.009614940896617826,0.020914515225744713
AEBP2,41,10,1.9055381272330483e-05,6.597140757615776e-05
AES,13,9,0.5216605164082674,0.6588518814095337
AFAP1,30,41,0.1405154336652795,0.2201755340064492
AFAP1L1,23,35,0.07966863722947469,0.13469693511099254
AFF2,15,16,0.8558951661029802,0.9301350781450459
AFF3,9,5,0.4226607189952972,0.556265053508617
AFG3L1P,50,19,0.000262459736273372,0.0007819655212809587
AFP,23,62,4.235174888355379e-06,1.629631075124859e-05
AFTPH,16,8,0.1496700762761138,0.23279601219919047
AGA,47,87,6.86275290911981e-05,0.00021841583517118177
AGAP1,28,50,0.006545913655812696,0.01478465117089435
AGAP11,464,103,6.922980860575577e-107,5.4165113795607455e-105
AGAP2,22,31,0.16078316472480964,0.24858838004282527
AGAP6,443,84,2.3433785183565653e-106,1.6522030890387458e-104
AGBL1,67,40,0.014297253084942474,0.029714075241008
AGBL2,58,43,0.20989067461532657,0.31076066568809735
AGBL3,2,3,0.680022832919075,0.7924982929488241
AGBL4,18,182,3.295387621809327e-44,4.245567140207522e-43
AGFG1,12,26,0.019627675701210504,0.03941804069299254
AGFG2,2,3,0.680022832919075,0.7924982929488241
AGGF1,17,21,0.5093691683215953,0.646917792232584
AGK,4,4,1.0,1.0
AGL,14,177,7.285112637380047e-46,1.0594091194455281e-44
AGMAT,34,185,3.1836976222991798e-34,2.5768052630483986e-33
AGMO,4,4,1.0,1.0
AGO1,15,174,7.19015851111101e-44,8.882447463314932e-43
AGO2,20,17,0.741024169752616,0.8450247560791999
AGO3,14,174,9.267170816662758e-45,1.255288007285013e-43
AGO4,16,174,5.268598984308307e-43,5.97319954281354e-42
AGPAT2,40,26,0.12765377310772819,0.20189671295265244
AGPAT3,25,22,0.8816257140972298,0.9512160796644822
AGPAT4,122,74,0.0006686121355452628,0.0018837005814255324
AGPAT5,38,17,0.008029219853288385,0.01770364606430326
AGPAT9,27,62,5.490471465367841e-05,0.0001774862542559839
AGPS,11,13,0.6816734346528801,0.7938676126331936
AGR2,4,4,1.0,1.0
AGR3,4,4,1.0,1.0
AGRP,46,15,0.00010086803264047187,0.0003144329912014158
AGT,19,12,0.2781153532826206,0.39435990532485626
AGTPBP1,42,22,0.019915382518872746,0.039953108466680876
AGTR1,28,23,0.6673931219068117,0.786443322661133
AGXT,22,55,4.5160796303427096e-05,0.00014738333305889243
AGXT2,16,21,0.40326240615321973,0.5348113238486507
AHCTF1,26,18,0.3557979249447837,0.48650977867472606
AHCY,10,0,0.0019187080609035395,0.004895182148589159
AHCYL1,10,178,6.145671717848907e-50,1.091256271223715e-48
AHCYL2,2,2,1.0,1.0
AHDC1,31,180,2.1059162728764916e-34,1.7081573569735774e-33
AHI1,115,74,0.003879101712206703,0.009194046374371899
AHNAK,55,16,3.5627882668940204e-06,1.3937553475333846e-05
AHNAK2,118,84,0.0236888301712778,0.04605326864668501
AHR,4,4,1.0,1.0
AHRR,24,35,0.10864508387439199,0.17682193390694653
AHSA2,10,7,0.6278994251432753,0.7569460849452117
AHSG,27,23,0.7724539395473864,0.8695243971435622
AHSP,25,7,0.001971607158808617,0.005025875231566782
AICDA,40,11,7.37887633597402e-05,0.00023380189900654234
AIF1L,46,25,0.01943433244026111,0.039118657633338126
AIFM1,9,10,0.8190406480497187,0.9040222959307942
AIFM3,139,39,9.514851696084588e-16,6.372363003949295e-15
AIG1,114,75,0.006398874485181096,0.014474309970846323
AIM1,95,59,0.005283579228337626,0.012164346512511371
AIM1L,28,182,9.988276876774235e-37,8.613312011647677e-36
AIM2,2,1,1.0,1.0
AIMP1,23,63,2.7059954924410337e-06,1.0793803581372598e-05
AIMP2,5,7,0.5712122678190917,0.7075740650761438
AIP,55,17,7.795760371440581e-06,2.8576845363538413e-05
AIPL1,57,8,2.713036119919313e-10,1.4586695989057951e-09
AIRE,25,23,1.0,1.0
AIRN,111,73,0.007469054930242439,0.01657803533719
AJAP1,84,198,4.5154923714401954e-17,3.1432681373389536e-16
AK2,19,175,6.784151341843331e-41,6.82595589130412e-40
AK3,211,120,3.977166237086633e-08,1.9652957636024803e-07
AK4,7,175,3.2203795423770618e-52,6.250199158344731e-51
AK5,14,178,3.1081515563382683e-46,4.618264359971658e-45
AK8,55,25,0.0010816209864474863,0.0029035222406029555
AK9,98,63,0.00805815328562495,0.017749205081621408
AKAP1,12,4,0.07590020996223656,0.1287022185407741
AKAP10,38,6,7.578513103670922e-07,3.3336580920452294e-06
AKAP11,181,90,3.039346062798197e-09,1.574924337887358e-08
AKAP12,106,73,0.02179242132800166,0.04308577957215595
AKAP13,65,40,0.023587872788536343,0.04592237234699235
AKAP17A,11,34,0.00034699539342691497,0.0010208705052994745
AKAP2,43,24,0.03168325689176508,0.05998057782332641
AKAP4,6,25,0.0003612854441977449,0.001060005848191118
AKAP6,146,54,5.072395259963783e-12,3.032133768212333e-11
AKAP7,114,70,0.0015533756145081018,0.0040462646924121215
AKAP8,10,2,0.03813288169940386,0.07071128859257435
AKAP8L,10,2,0.03813288169940386,0.07071128859257435
AKAP9,2,3,0.680022832919075,0.7924982929488241
AKIP1,71,81,0.2557516905687735,0.36856311355757054
AKIRIN2,95,53,0.0007373241821683088,0.002055694852363091
AKNAD1,11,177,1.692690468599319e-48,2.8474351869315757e-47
AKR1A1,3,173,9.903639137441096e-57,2.0983422725337114e-55
AKR1B1,3,3,1.0,1.0
AKR1B10,2,3,0.680022832919075,0.7924982929488241
AKR1C1,423,78,1.8949362660468105e-98,5.762294046266233e-97
AKR1C2,423,77,3.958689926991594e-99,1.276125323675273e-97
AKR1C3,423,78,1.8949362660468105e-98,5.762294046266233e-97
AKR1C4,423,78,1.8949362660468105e-98,5.762294046266233e-97
AKR1C7P,424,78,4.912296237618339e-99,1.57676312139963e-97
AKR1CL1,423,78,1.8949362660468105e-98,5.762294046266233e-97
AKR1D1,2,3,0.680022832919075,0.7924982929488241
AKR1E2,423,78,1.8949362660468105e-98,5.762294046266233e-97
AKR7A2,34,182,2.963718629679489e-33,2.3757193839405165e-32
AKT1,117,84,0.028647098179505323,0.05477809430403883
AKT1S1,63,242,1.2240602686172064e-37,1.0906734149066407e-36
AKT2,34,214,4.667253946578596e-44,5.916581332110014e-43
AKT3,11,16,0.3310422888589354,0.45456282113701346
AKTIP,46,10,1.4569473305167101e-06,6.086279977481095e-06
ALAD,42,24,0.041790481976904895,0.07600201213765925
ALAS1,34,37,0.6238858499056186,0.7557658182377525
ALAS2,2,6,0.16898554219925477,0.25789909731963884
ALB,23,62,4.235174888355379e-06,1.629631075124859e-05
ALCAM,29,25,0.7804607425495926,0.8768946353462963
ALDH18A1,465,104,6.365984987765353e-107,5.1138944645032686e-105
ALDH1A1,51,23,0.0016335134644422016,0.004247643978336637
ALDH1A2,82,53,0.021182434984569704,0.04203393173123407
ALDH1A3,70,40,0.006456684053501618,0.014589697330279981
ALDH1B1,140,50,5.5463691810850765e-12,3.2997052609211884e-11
ALDH1L1,37,24,0.14708054327050996,0.22901332457731813
ALDH1L2,29,39,0.1683444809021016,0.25789909731963884
ALDH2,29,39,0.1683444809021016,0.25789909731963884
ALDH3A1,38,6,7.578513103670922e-07,3.3336580920452294e-06
ALDH3A2,38,6,7.578513103670922e-07,3.3336580920452294e-06
ALDH3B1,58,16,8.494998958045604e-07,3.694611301324872e-06
ALDH4A1,30,181,2.365117456087555e-35,1.9564314110874037e-34
ALDH5A1,42,25,0.05831065864757937,0.10194863992131487
ALDH7A1,18,32,0.030163457969773634,0.05748007936343264
ALDH8A1,115,73,0.00293042895527366,0.007127737008763103
ALDH9A1,4,1,0.374511179720651,0.5037524124072009
ALDOA,29,10,0.003140685059375372,0.007589068185873089
ALDOB,43,24,0.03168325689176508,0.05998057782332641
ALG1,23,6,0.002187889141606591,0.005514508504230573
ALG10B,42,21,0.013200158196225671,0.027598159557926518
ALG11,202,98,3.564216070739801e-11,2.0296305464235515e-10
ALG14,19,177,1.332636163597674e-41,1.3739780679179313e-40
ALG1L,37,25,0.1911404526957251,0.2864723017455036
ALG1L13P,38,16,0.004812498365844113,0.011175351747056772
ALG1L2,34,24,0.2805887557640879,0.3976044042154635
ALG2,42,25,0.05831065864757937,0.10194863992131487
ALG5,169,86,3.037968715004159e-08,1.5136439813198168e-07
ALG6,7,176,1.3246190085019777e-52,2.6045061185493077e-51
ALG8,48,13,8.442569680001136e-06,3.076019445379022e-05
ALG9,47,10,8.587198469643044e-07,3.710005620102899e-06
ALK,13,9,0.5216605164082674,0.6588518814095337
ALKBH1,131,101,0.07542945697532194,0.12806298628879817
ALKBH3,60,48,0.3619805876598059,0.49254169659118996
ALKBH4,2,3,0.680022832919075,0.7924982929488241
ALKBH5,38,4,4.407020738470241e-08,2.172703168142434e-07
ALKBH6,25,197,2.713658188764396e-44,3.55092102017585e-43
ALKBH7,10,7,0.6278994251432753,0.7569460849452117
ALKBH8,50,11,4.842443744363792e-07,2.1904001784954192e-06
ALLC,17,18,0.8639015907108342,0.9371410814311201
ALMS1,12,8,0.5017551450947653,0.6388139494544931
ALMS1P,11,8,0.6463669807125458,0.7709133039601651
ALOX12,57,8,2.713036119919313e-10,1.4586695989057951e-09
ALOX12P2,58,8,1.484166186421526e-10,8.069180040689166e-10
ALOX15,54,6,9.546100497439724e-11,5.262441162295028e-10
ALOX15B,56,8,4.944714832035768e-10,2.6377665556406714e-09
ALOX5,431,80,8.193013713290896e-102,3.0165551961043093e-100
ALOX5AP,154,80,4.474162191429363e-07,2.037927969668038e-06
ALPK1,25,64,6.89847720274786e-06,2.546790969272017e-05
ALPK2,47,47,0.8298301850596774,0.9086336099076517
ALPL,38,183,2.6461169002592426e-31,2.0649334065295762e-30
ALPPL2,21,48,0.00042904003717161117,0.001247829513725449
ALS2CL,32,37,0.456041136327251,0.5913821190867073
ALS2CR11,8,11,0.49178571611551897,0.6290535616048473
ALX1,38,41,0.6404470155898638,0.7678821189393356
ALX3,10,178,6.145671717848907e-50,1.091256271223715e-48
ALX4,62,48,0.2690874959548092,0.38435222632244403
ALYREF,17,5,0.01644067088269268,0.03362447351937501
AMACR,16,20,0.4983322709104927,0.6358032421961459
AMBN,26,61,4.537956111168808e-05,0.00014780827558971775
AMBP,40,24,0.07094319124528412,0.12131003060747388
AMBRA1,59,47,0.35787875929524116,0.4879780994947003
AMDHD1,30,40,0.1740248826167945,0.26360812611369233
AMELX,11,32,0.0008663998829980427,0.0023715486593288266
AMER1,3,3,1.0,1.0
AMER2,150,83,5.898917573927916e-06,2.2048653843131414e-05
AMER3,9,7,0.803005578017028,0.8966587224389946
AMFR,50,12,1.2793496152471302e-06,5.422796252890065e-06
AMICA1,45,10,2.4605670296634736e-06,9.885701502969965e-06
AMIGO2,48,46,1.0,1.0
AMMECR1,11,6,0.3306822019367589,0.45456282113701346
