Gene,GBM_mut,LGG_mut,pval,FDR
KIF4B,6,4,0.10390045357003576,1.0
KIF5A,0,4,0.3041276425443637,1.0
KIF5B,1,2,1.0,1.0
KIF5C,1,3,1.0,1.0
KIF6,1,5,0.6704048423590807,1.0
KIF7,2,1,0.2776318594459757,1.0
KIFAP3,2,4,1.0,1.0
KIFC2,1,3,1.0,1.0
KIFC3,1,3,1.0,1.0
KIR2DL1,3,4,0.6988110156411875,1.0
KIR2DL3,1,2,1.0,1.0
KIR3DL1,2,1,0.2776318594459757,1.0
KIT,3,6,1.0,1.0
KL,1,3,1.0,1.0
KLB,1,3,1.0,1.0
KLF17,5,0,0.004924491660311503,0.6282735174062537
KLF4,1,2,1.0,1.0
KLF6,1,2,1.0,1.0
KLF9,1,2,1.0,1.0
KLHDC3,0,3,0.555300505294623,1.0
KLHDC7A,2,1,0.2776318594459757,1.0
KLHL1,2,2,0.6129467360897645,1.0
KLHL13,4,3,0.2440874242159363,1.0
KLHL20,1,2,1.0,1.0
KLHL28,1,3,1.0,1.0
KLHL30,1,3,1.0,1.0
KLHL34,4,3,0.2440874242159363,1.0
KLHL38,0,3,0.555300505294623,1.0
KLHL4,3,1,0.12322231267327528,1.0
KLHL8,0,3,0.555300505294623,1.0
KLK15,3,1,0.12322231267327528,1.0
KLK6,4,1,0.05190631466953338,0.9984238280609337
KLKB1,2,5,1.0,1.0
KLRC1,1,2,1.0,1.0
KLRC2,2,1,0.2776318594459757,1.0
KMO,0,3,0.555300505294623,1.0
KNDC1,3,4,0.6988110156411875,1.0
KNG1,2,2,0.6129467360897645,1.0
KPNA5,1,3,1.0,1.0
KPRP,6,5,0.2039365389802441,1.0
KRAS,2,2,0.6129467360897645,1.0
KRI1,0,4,0.3041276425443637,1.0
KRT1,1,3,1.0,1.0
KRT12,2,1,0.2776318594459757,1.0
KRT13,3,3,0.4235081060898829,1.0
KRT15,2,6,0.7207249349769386,1.0
KRT16,2,2,0.6129467360897645,1.0
KRT17,1,2,1.0,1.0
KRT18,2,1,0.2776318594459757,1.0
KRT19,2,1,0.2776318594459757,1.0
KRT2,1,2,1.0,1.0
KRT20,2,3,1.0,1.0
KRT222,2,2,0.6129467360897645,1.0
KRT24,1,2,1.0,1.0
KRT25,3,2,0.3479791729957157,1.0
KRT28,1,5,0.6704048423590807,1.0
KRT3,0,4,0.3041276425443637,1.0
KRT31,1,3,1.0,1.0
KRT33A,2,4,1.0,1.0
KRT33B,1,2,1.0,1.0
KRT34,2,2,0.6129467360897645,1.0
KRT35,1,2,1.0,1.0
KRT36,1,4,0.6635915057670203,1.0
KRT37,3,4,0.6988110156411875,1.0
KRT39,2,2,0.6129467360897645,1.0
KRT40,2,1,0.2776318594459757,1.0
KRT6B,1,4,0.6635915057670203,1.0
KRT6C,0,3,0.555300505294623,1.0
KRT71,0,4,0.3041276425443637,1.0
KRT73,0,5,0.16968917798636085,1.0
KRT75,2,4,1.0,1.0
KRT79,3,2,0.3479791729957157,1.0
KRT8,1,3,1.0,1.0
KRT81,1,3,1.0,1.0
KRT83,0,4,0.3041276425443637,1.0
KRT84,2,3,1.0,1.0
KRT86,1,3,1.0,1.0
KRT9,3,1,0.12322231267327528,1.0
KRTAP10-11,3,0,0.041546220364935736,0.9984238280609337
KRTAP10-12,2,2,0.6129467360897645,1.0
KRTAP10-2,1,2,1.0,1.0
KRTAP10-3,2,1,0.2776318594459757,1.0
